scorer,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000
bodyparts,Pbsc0,Pbsc0,Pbsc0,Pbsc1,Pbsc1,Pbsc1
coords,x,y,likelihood,x,y,likelihood
0,610.892578125,162.5811004638672,0.996074914932251,592.262451171875,182.4789581298828,0.9675663709640503
1,610.8723754882812,162.56700134277344,0.9964081048965454,591.8753662109375,182.7359619140625,0.9721150398254395
2,611.1207885742188,162.37939453125,0.996296763420105,592.1429443359375,183.07708740234375,0.9670324325561523
3,611.305419921875,162.2635040283203,0.9949619770050049,594.0678100585938,187.94187927246094,0.9626798629760742
4,611.0496826171875,162.78953552246094,0.9949488639831543,594.3947143554688,187.9642333984375,0.9463977217674255
5,611.1773071289062,162.34190368652344,0.9958468079566956,592.951416015625,188.59059143066406,0.9660402536392212
6,611.1055297851562,161.6514892578125,0.9955720901489258,592.2283325195312,182.0043487548828,0.9654471278190613
7,611.2300415039062,161.6854705810547,0.9954968094825745,592.1027221679688,181.02194213867188,0.969963788986206
8,611.1033935546875,161.6185760498047,0.9941173195838928,592.3328857421875,182.0680389404297,0.9623140692710876
9,610.9844970703125,161.53021240234375,0.9952051639556885,592.0911865234375,181.34910583496094,0.9701948165893555
10,611.144775390625,161.87159729003906,0.9945801496505737,592.11083984375,181.9763946533203,0.9639699459075928
11,610.8837280273438,161.62901306152344,0.995124876499176,592.0960693359375,181.74330139160156,0.9742913246154785
12,610.82080078125,161.46263122558594,0.9941790699958801,592.1722412109375,181.68736267089844,0.9726681709289551
13,610.8837890625,161.86468505859375,0.9954193234443665,592.1395263671875,181.84317016601562,0.9713762402534485
14,610.8699951171875,161.7913055419922,0.9955937266349792,592.4442138671875,181.63758850097656,0.9745163321495056
15,610.8132934570312,161.5611114501953,0.9952434301376343,592.3068237304688,181.09739685058594,0.9730392694473267
16,610.6294555664062,161.52159118652344,0.9945782423019409,592.6110229492188,181.28245544433594,0.9592995047569275
17,610.8137817382812,161.4566650390625,0.9946421980857849,591.9633178710938,180.9667205810547,0.9710178971290588
18,610.6950073242188,161.17181396484375,0.9950039386749268,592.03564453125,180.9775390625,0.9742243885993958
19,610.9625854492188,161.27593994140625,0.9950488209724426,592.2281494140625,181.22923278808594,0.9705629944801331
20,610.9210815429688,161.60240173339844,0.9952936768531799,592.6519775390625,181.04623413085938,0.9671579599380493
21,610.0957641601562,161.35525512695312,0.9949607253074646,592.0321044921875,181.27210998535156,0.9704338312149048
22,610.8355102539062,161.90335083007812,0.9947614073753357,592.5455322265625,181.24893188476562,0.9643355011940002
23,610.68603515625,162.2145538330078,0.9955878853797913,592.31494140625,181.80735778808594,0.9596265554428101
24,610.7257080078125,161.0780792236328,0.9941532611846924,592.57421875,180.6757049560547,0.9643031358718872
25,610.4005737304688,161.1211700439453,0.9956756234169006,592.5659790039062,180.56861877441406,0.9685612320899963
26,610.8804321289062,161.46022033691406,0.9949600100517273,592.7527465820312,180.41104125976562,0.9710584282875061
27,611.1129760742188,161.3566436767578,0.9949147701263428,592.9754638671875,180.60049438476562,0.970051646232605
28,610.7861938476562,161.5125732421875,0.9952510595321655,593.09765625,180.4370880126953,0.9681255221366882
29,610.761474609375,161.249755859375,0.9943556189537048,593.0421752929688,180.3153839111328,0.9692821502685547
